input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
Bret Stephens was demanding that Blompf sink the Iranian Navy just the other day Hardly friend of ours,Neutral,Explicit White Supremacism,Other hate Speech,0,2,3,0,1,1,1
Switch to ABC All your favourite Lefty ArseClowns will be there,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
But bro do not have enough for the no singles tax,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Ahh true it not very good early game but it very useful against the Elite Four,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
China Colonial Power in Disguise for Cameroon,Other hate Speech,Explicit White Supremacism,Implicit White Supremacism,3,2,1,1,1,1,1
On Equality The Book of RC,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
And truth and decency on our side Not sure how that helps in practice but could not live without it,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Perhaps there are more half brothers of Winx,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
Natural born citizen,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Everyone remember my BitChute account Give it some love amp,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
52 of Rapes in Rome Committed by Non White Immigrants 59 in Milan 40 in Italy More,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Yes all manufacturers need to be brought back to the USA,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
love you brother,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
hope Donald Trump wins re election and the next day calls meeting with heads of the FBI and CIA You each have one month to bring me list of the 10 of your employees you re firing From now on 10 of your agency disappears every time one of your people comes for me,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
do not know what to write here,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
ve tried few times to point out the obvious succession of the EU to the USSR but it does not work People in the West barely know or remember what the USSR was and have no negative associations with it,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Whistleblower MelanieShaw brutally abused by UK courts was of the 1st to report ABUSE MURDER of children at Beechwood children home Melanie was arrested sentenced in secret spent yrs in solitary confinement is now gagged sectioned Pls,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
We need to stop all Muslim immigration into Australia immediately,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
More than 2030 people died after receiving Centrelink debt notice also known as robo debt according to new data released by the Department of Human Services The vast majority of people who died were still receiving Centrelink payments at the time of their deaths Responsibility for Centrelink lies with the DepartmentOfHumanServices Senator Siewert said evidence from Senate inquiry found that getting debt notice when pl did nothing wrong can bring on depression or anxiety Pl talk about feeling stressed anxious through the system feeling humiliated AND depressed,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Swiss Soldiers Suspended for Saluting in Front of Snow Swastika via,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
Kanye is talking about TRUTH and UNIFICATION instead of LIES and SEGREGATION like FAKE NEWS take cuss word over LIE any day,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
exactly what did Their lawyers are on it now,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
That false equivalency is one of my lease favorite things,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Gov pays these people You guys have lost They will take over the Bation So sad,Other hate Speech,Implicit White Supremacism,Other hate Speech,3,1,3,1,1,1,1
No transcripts from the HC court case tribunal hearings appeals reviews exposed so many lies they told mother not from Sara Lanka she is an Indian citizen father has already been back to Sara Lanka times courts warned them not to have children as they WILL BE deported,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
Amaing the UK gov lets in RADICAL ISLAMIC TERRORISTS SPEAK but CENSORS freedom loving Brits and Allies,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
We ve been having chat about music listening in the TL of The rate for FGM in Somalia is more than 95 according to the UN,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
EU is not return of Nazis Nazis EU Anti Jews Pro Jews Anti Central banks Pro Central ks Anti Transgender Pro Transgender Pro Nationalism Anti Nationalism Pro Families Anti Families Pro Germans Anti Germans,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Why did not you and Doug Hilton did not touched the subject of mass non white immigration to Russia Putin regime is turning Russia into another multicultural shithole Here is photo from muslim holiday in St Petersbug,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Iran massacred our Marines assassinated US hostages in Lebanon killed US military in Iraq seized US citizens in Iran funds Hezbollah It has murdered leaders journalists students in the region in Iran US Presidents have enough legitimacy to stop that regime actions,Other hate Speech,Explicit White Supremacism,Explicit White Supremacism,3,2,2,1,1,1,1
Immigrants from Asia Africa would have to compete qualify in order to get in quantitatively qualitatively Sounds like MERIT BASED system to me S386 is neither MERIT BASED nor does it remove country caps for family based Why does not it remove it there as well,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
Keneally is very cruel person Denying village somewhere the perfect idiot,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
School choice is government policy to FORCE diversity on minority students This is not free choice for minority students Stop forcing diversity on us Free association should be respected not violated to appease your sick Marxist utopia scam,Explicit White Supremacism,Explicit White Supremacism,Other hate Speech,2,2,3,1,1,1,1
Guys catch my latest video where respond to Jaclyn Glenn reaction to purity Christian values Why mock what is healthier safer Paul and Morgan,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
do not know who Spengler is But did not say anything about our race dying just said that it natural for civilizations cultures philosophies and religions to come and go And so long as the White race survives then so too will White culture and civilization,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
Tonight dessert special is Derek The Dominoes Layla other assorted love songs On SACD in surround on the SystemOfTheGods Eric Clapton and Duane Allman trading guitar licks Bliss,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
You re good egg Johnny,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Proud to announce ve upset the worst account on Twitter,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
nation that was founded and built by White people,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
The 1619Project is curriculum intended to incite hate against white minority students demonizing them and their ancestors gt,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
Guaranteed,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Why is this even thing in my country,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
is going to get caught hanging on to the Climate Change Socialism Ball the LNP better watch out because the quiet Australians are about to turn into great big mean angry dog Governance devoid of honesty and integrity can no longer be tolerated,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
at the QLD Local Government Conference and it disheartening to hear how councils are asking time and time again for reforms to funding and more spending on infrastructure and water QLD is more than just the South East It time that rural areas got their fair share,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
SIX SINS OF SHOEN The impending federal election will be referendum on economic policy the like of which Australia hasn seen since 1993 writes in the auspol ausvotes AusVotes2019,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
WHY is Dr Carol Baker working at Baylor when she ADVOCATES GENOCIDE against WHITE PEOPLE,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
If Bill Shorten is elected we will see the accelerated destruction of Australia,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
This is serious NigeriansRetaliate NoToXenophobia,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Societies do not just magically manifest themselves out of thin air Societies are the product of the races that brought them into existence Race is the origin of literally everything we are and do as human beings Race is the product of Nature Culture is the product of race,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
Yes not little boys who ride carousel ponies with fake smiles,Other hate Speech,Other hate Speech,Explicit White Supremacism,3,3,2,1,1,1,1
Shorter Other people told me stuff,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Ban The Burqa wants burqas banned from government buildings Today NSW leader revealed his party will adopt the controversial policy for the upcoming state election NSWvotes 7News,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Offering reassurance to the community wonder if there any reassurance for all the Christian communities who have lost their place of worship,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
THANK YOU for dropping Griffin She is not comic She is inciting violence against the federal crime,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
This is so wickedly good None of this matters except for one thing,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
YOU are AWESOME What GREAT post,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
German Patriots Burn yet Another Planned Non White Invader Center Read more,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Inversion magic spells is how grab thousands of normal healthy girls and turn them into infertile baby killing church burning anti feminine men hating demons filled with hatred and hell bent on destroying their own civilization She has completed Nietzsche metamorphoses In case you had any doubts about how the pro immigration lobby is ensconced in the Establishment If partial quadriplegic living in nursing home can help change the world for the better there is no reason why you cant,Implicit White Supremacism,Explicit White Supremacism,Other hate Speech,1,2,3,1,1,1,1
The ignorance or mendaciousness of this writer and of his master Jeer Heet also clear in trying to connect me to white nationalism which have nothing to do with Nationalism in America is Latinx movement See also Stephen Miller new gf,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
The Democrat talking points were in full effect all of the PalaceScribes,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Although would consider it if get carve out for my ridgetop redoubt,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
What you get wrong Is The other side will not stop Until they feel the pain You submit claim the higher ground As the left works to bury all of us And every conservative idea,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
My fight with Facebook to republish my page with 176 000 followers is going to take longer than expected So for now THIS is my new page Please LIKE it and SHARE it,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Have care for the innocent whites on the receiving end of the backlash you are fueling Anti white racism is not cool man,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
This is what we are dealing with John Major works for Swiss investment bank Credit Suisse as senior advisor Credit Suisse are against no deal Brexit Is John Major taking on his own Party in the courts for the good of the country or his employers,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Now do Biden,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
You got that right cheesecake The Vegas shooter had full auto and there was more than one shooter That whole thing STINKS,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
SayNoToRacism by telling anti Whites to stop hating blaming White people for all of the world problems Tell anti Whites in the mainstream media and universities to stop promoting hatred and violence toward White people Hating and blaming White people is not solution,Other hate Speech,Explicit White Supremacism,Explicit White Supremacism,3,2,2,1,1,1,1
We all have to make as much noise as we possibly can in defence of Julian Assange great human being and great journalist The legendary of Pink Floyd in NYC via Artists4Assange DontExtraditeAssange,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Yes to sleep,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
2020 is definitely going to be national populism vs socialist populism,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
Sadly Ford entire legacy was sold out from under him by his grandchildren,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
German Ministers Demand Ban on Blood and Honour Combat 18 via,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
FB post by friend who lived in the former Soviet Union and experienced it directly,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Any conservatism in the last 50 years that did not see immigration as the conservative issue was just bullshit,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
in 1940 my 20 year old future mother rode the trolley to downtown St Paul MN to see the picture show nights per week After 1965 however women stopped going out at night It was safer to stay home and watch TV This loss of women freedom ought to be regretted,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Ive just driven past the bus stop used to go to school left 21 years ago Dozens of kids used that stop they were all white British This morning there were about 30 kids there could only see white kids the rest were Pakistani How the hell has that happened in 21yrs,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Maybe don spread your legs,Explicit White Supremacism,Other hate Speech,Implicit White Supremacism,2,3,1,1,1,1,1
Yeah it very rare that men and women can be just friends That just the reality of life Most men just want sex Most women just want attention And most people lie about what they really want from each other It an unpleasant truth we all must face and overcome,Neutral,Other hate Speech,Other hate Speech,0,3,3,0,1,1,1
It would be enlightening for you to look at statements by Obama and Trump after number of different controversial events And compare how the media characterized them But that might mess the narrative,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
17 This duality materialized when public speech migrated from public spaces like college campuses to private spaces like Twitter but speech protections did not migrate with it Alas even in public spaces the inalienable right of free speech is now being penalized,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
LISTEN LIVE TONIGHT Guryel Ali Christian Gospel singer will be joining me at 15pm We ll discuss his Christian testimony and Salvation in Jesus Christ,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
is regular on the SystemOfTheGods Digging some right now his solo work deserve much more attention than they get He also the king of surround recording mixing so his offerings fly out fill the space perfectly,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
For anyone interested found an archive zipfile of his songs,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Ryan is RAT,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
can assure you it was not intentional,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Go with that gut feeling was in such shock when was told the reasons that told several other people about it to advise me,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
mean sure probably gt,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
Twitter does nothing about it Twitter is anti White,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Secretary of State Mike Pompeo reveals another Media Schiff charade 27 The grand inquisitors sent letter notifying Pompeo of subpoena The subpoena has yet to materialize Media and Democrats all weekend acted as if subpoena exists It does not,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
am realizing that not Libertarian still thinking on it,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
For the first time since 2000 FridayThe13th coincides with the full moon,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
But you should at least check the Google before you fact check,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Reconstruction of hrerbunker Draws Tens of Thousands in Berlin via,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Did you know that currently in Australia we are not operating under the original Annotated Version of the Constitution in fact we are operating under diluted Constitution,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
and THAT was the rest of the story,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
WOW EVIL BITCH,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
What an unmitigated lie Mark Butler you are disgrace to your Country At no time have seen you make an informed statement regarding Climate Change You lie to gain votes hope it backfires for the sake of Australia,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Are you serious Deserving Australian writers were outright DENIED those four awards in lieu of pathetic break all the rules virtue signalling You and both know that so does Auspol,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Whistleblower Reveals That UN Planned Invasion By Refugees Into The US Is Already Underway,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
Pure BS Acosta is disrespectful unprofessional and has no credibility for his FAKE NEWS CNNISFAKENEWS CNNFAKENEWS,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
It would have been June of 2006 when he made front page news worldwide He planned on grand opening of structure he built the Honorary Hall for Adolf Hitler That was one hell of crazy experience for us all who were involved with Theo and the property,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
When Muslim are in the minority they are very concerned with minority rights when they are in majority there are no minority rights anonymous quote Is there anywhere in the world where this observation is not true Hard to believe Victoria had the opportunity to put DAndrews in the dole queue but somehow re elected the Parasite considering the corruption he lucky not to be in jail,Other hate Speech,Explicit White Supremacism,Neutral,3,2,0,1,1,0,1
How does someone accidentally have sex with someone else,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
What is wrong Leftist Retards like you keep saying it wrong or racist but won say why Just because so there,Explicit White Supremacism,Explicit White Supremacism,Other hate Speech,2,2,3,1,1,1,1
BlueChekist,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Daily reminder to bully people who only parrot celeb opinions,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
ve banned her everywhere possible and her fake accounts,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
For those of you who follow me on Facebook my like page has been put in re education camp for something that posted THREE YEARS ago that is considered hate speech My cherry has been broken,Neutral,Explicit White Supremacism,Other hate Speech,0,2,3,0,1,1,1
She should be in charge of the laundry of women prison,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
Duh,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
Any minute now will claim she actually won this race,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
One of the stories European mainstream journalists do not cover How the Halal food is taking over the native food industry and how as result millions of Europeans eat Halal food without even knowing it,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Thanks Malcolm let hope so,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
TRASHY SHOW for TRASHY PEOPLE they make the TRASH look bad,Other hate Speech,Other hate Speech,Other hate Speech,3,3,3,1,1,1,1
Baltimore was world class 100 years ago far far different demographic was close to 90 of the population They built the city and departed when crime became intolerable What they left behind decaying now is reminder civilization is not social construct,Other hate Speech,Explicit White Supremacism,Explicit White Supremacism,3,2,2,1,1,1,1
Let me be clear think many of Bolton views are borderline dangerous But he was the ONLY remaining member of the president inner circle who knew anything about strategic affairs If you think things have been chaotic to this point just wait,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
We all want progress but if you re on the wrong road progress means doing an about turn and walking back to the right road in that case the man who turns back soonest is the most progressive Lewis,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
on China US trade war The Chinese have been getting free kick It not free trade it free kick right in front of the goal posts and all is doing is winding it back MORE pmlive,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Illegal aliens shouldn be here Go home,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
White people are clearly major problem that is not going to be solved feel white people should be segregated into their own areas states going forward this seems like the best solution to keep them from oppressing other groups,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
WOW,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
would never set foot into this shop,Implicit White Supremacism,Other hate Speech,Neutral,1,3,0,1,1,0,1
She then claims she was shoved amp,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Blake Meaddows from we work tirelessly for your right to use YOUR words on campus it up to YOU to stand up for your FirstAmendment rights MakeLibertyWin TheAnswerIsMoreSpeech,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Um the Trump people are not going to put up with PUNKS any longer Kino Jiminez the PUNK that hit the kid is now IN JAIL for FELONY One of you punks is going to choose the wrong person and wind up in world of pain My advice BACK OFF and face the truth YOU LOST,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
It very common theme Jews and Muslims worked together to ensure they got priority over Christians for the release of the bodies of their loved ones,Implicit White Supremacism,Other hate Speech,Implicit White Supremacism,1,3,1,1,1,1,1
Is this what stupid looks like,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
MERRY CHRISTMAS,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
It naturally appealing and uplifting color Virtually every human being consciously or unconsciously associates the color blue with sense of elevation and expansion like the sky itself from which the color seems to come It naturally symbolic color,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
This Twat is still Lobbying for ALP They know they are going to lose the UnloseableElection,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
In 21 days President is moving forward building the wall with or without the Democrats The only outstanding question is whether the Democrats want something or nothing,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
In an ever changing world of morals she will be defended by the misguided fools in society who think killing your own babies is just birth control that targeting men to have them all killed is perfectly permissable,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
OMG The only Conservative Hollywood star who happens to follow me on Twitter and he been locked out of his account for some bogus censorship reasons,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
This shit has to stop,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Make it an international law to only sell biodegradable products to the third world They are incapable of disposing their trash properly,Explicit White Supremacism,Other hate Speech,Implicit White Supremacism,2,3,1,1,1,1,1
Appears GetUp is writing tweets to themselves,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
National Socialism Rising in Russia Government Ban on Holocaust Revisionism Read more via,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Then do not carry gun little fella Winning,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Jewish groups and synagogues prepare to shelter immigrants during ICE raids,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
wonder if any of them are tied to Democrat operatives Let not forget the SICK preferences of high level Dems like TONY PODESTA brother of Warning The images from Podesta house are REAL and scary,Other hate Speech,Explicit White Supremacism,Other hate Speech,3,2,3,1,1,1,1
Because something is fishy around here,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
The Ghosts of Hitler European Fortress Nazi Bunkers in Holland France and Belgium More,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Open Borders No Deportations Next expect Beto to be calling for extraordinary renditions of Central Americans to bring them here by force,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Great now know to avoid Koala Mattresses And now anyone know buying one will say they are no good because they stained by wet blanket leadership Oh the to and fro of taking sides,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
Hopefully it one way trip to Geneva What an absolute Flog,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
The crime would be ecocide You cannot mock these people,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Stop the RAPE ARRESTHILLARY and ARRESTBILL,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Panic Intensifies We are writing today with grave concern that you continue to book Rudy Giuliani on your air to spread false debunked conspiracy theories on behalf of Donald Trump Biden campaign advisers wrote to networks,Explicit White Supremacism,Explicit White Supremacism,Other hate Speech,2,2,3,1,1,1,1
The Jedi Mind Screw,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
N0 only 99 of the time SexAddiction,Neutral,Implicit White Supremacism,Other hate Speech,0,1,3,0,1,1,1
Liberals free spirit you can not tell me what to do Universities Hate White people because reasons Liberals Yes masters,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Tomorrow at 30pm on my YouTube channel my guest is David Egan An authority on the plight of the white South African Farmers Join the conversation tomorrow Lol It too much orange Whites enslaved others the least,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
like that plan it awesome,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
They fought the Germans so that one day Third World immigrants could overrun their homeland and tell them that they are evil and deserve to die,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Looks like my YouTube channel was nuked without warning or prior strikes Hate speech Guess it was imagined as never said anything against other groups just positive things about my heritage No worries vids are all saved and ll pop back up know this is marathon,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Big Tech censorship of conservative users represents an existential threat to free speech free markets and free elections Thankful brought it up during UNGA,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Allied Soldiers Raped almost One Million German Women Historian Finds Read more,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Brace for 5pc super fund returns,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Based on countless hours of study of numerous years just can not reach the conclusion that we ve been taught the truth about this subject Poll Vote,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
Today members of were sentenced to prison for defending themselves against rabid Antifa They committed no crime were prosecuted for their politics They were Trump supporters Radio silence from Trump Same day Trump calls Sweden PM to help free black rapper,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
Critical Race Theory claims to bring about justice and equality It the excepted ideology in the West It sounds nice but what they really want is Western countries and governmental systems wiped off the face of the planet What does look like This,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
For those that missed it Ben facts do not care about your feelings Shapiro had an emotional meltdown when confronted with his own hypocrisy Shapiro got extremely triggered when his past slur of Palestinians was brought up and then lied that he was only referring to Hamas,Implicit White Supremacism,Other hate Speech,Neutral,1,3,0,1,1,0,1
Travel Tophet the Ancient Infant Sacrificial Site,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
That all it took,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
genuinely disgusted at the state of humans,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Great ladies,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Atheist Republic meetup 2019,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
am not fan of collectivist thinking as it is another form of victim culture Bl people today did not suffer through sl J3ws today did not suffer through the holocaust sure there are plenty more examples,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
You re free to feel whatever you want You do not want to be pro White Cool no problem No one forcing you However those of us that want to be pro White have the right to be whether you or anyone else likes it or not,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Media blitz is underway to propagandize the downing of the US drone as another pretext for war with Iran for the benefit of Israel Watch as this story snowballs into another incident justifying calls for military response by America,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
You are correct and they are both equivalent to moving deck chairs given what our parliament has just done,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
Is that GetUp logo on the signage outside Zali Steggall campaign office auspol WarringahVotes StrongerAus,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
was joking,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Prize example of the ignorance and hate of lefts INFANTICIDE SUPPOER,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
Because she wanted to rake in bunch of attention,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Sir Oswald Mosley lived through the mass death of European Humanity in WW1 and struggled to prevent WW2 with vision of new united Europe that would weild truth and power His facial expression watching his own speech during an interview in 1967 says more than words can,Implicit White Supremacism,Other hate Speech,Implicit White Supremacism,1,3,1,1,1,1,1
Okay but the entire multi nation situation in the West only hangs together by the thinnest of threads it is very unnatural when it falls it will break down on racial lines in regards to longer term segregation,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
Choose your fighter,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
